Property,MeanID,Mean,PValue
MyProperty(avgHappy_Noise),1,0.9599104195458483,0.897193310873909
MyProperty(avgHappy_Noise),2,0.9651016458158377,0.27937791007910406
MyProperty(avgHappy_Noise),3,0.9528779838764388,0.5771404492270993
MyProperty(avgHappy_Noise),4,0.8708025410602357,0.9573161260532682
MyProperty(avgHappy_Noise),5,1.0078761343276137,0.8563272385649511
MyProperty(avgHappy_Noise),6,0.9520895394812285,0.888730081864748
MyProperty(avgHappy_Noise),7,0.9989121036146421,0.6960315627885103
MyProperty(avgHappy_Noise),8,1.0249506279200793,0.47075016515438567
MyProperty(avgHappy_Noise),9,0.980600735797431,0.2594581443781175
MyProperty(avgHappy_Noise),10,0.8805339553188681,0.7031845473796821
MyProperty(avgHappy_Noise),11,0.9606208916959902,0.37722835341941924
MyProperty(avgHappy_Noise),12,1.0012961853652025,0.020770947340635254
MyProperty(avgHappy_Noise),13,1.0001981228194696,0.09873199247721441
MyProperty(avgHappy_Noise),14,0.9749376097752276,0.549824785429895
MyProperty(avgHappy_Noise),15,0.9681220220026697,0.9239132192376515
MyProperty(avgHappy_Noise),16,0.9257240689935606,0.2747749933429464
MyProperty(avgHappy_Noise),17,0.9798634641818785,0.40406199712102653
MyProperty(avgHappy_Noise),18,0.9343197797797924,0.9748498913219802
MyProperty(avgHappy_Noise),19,0.9622812482705083,0.19983224228992874
MyProperty(avgHappy_Noise),20,0.9627103307196169,0.032251147900551044
MyProperty(avgHappy_Noise),21,0.979132713844809,0.8855730286441331
MyProperty(avgHappy_Noise),22,0.9184132752682018,0.9084570357714553
MyProperty(avgHappy_Noise),23,0.9632634901033441,0.6284311286991581
MyProperty(avgHappy_Noise),24,0.9721382925586309,0.19775329405108172
MyProperty(avgHappy_Noise),25,1.0118443014943874,0.0033945610721864213
MyProperty(avgHappy_Noise),26,0.9173795120956003,0.27448309105170016
MyProperty(avgHappy_Noise),27,0.9879576070195366,0.8239452612556702
MyProperty(avgHappy_Noise),28,0.9539037225234397,0.5092133407426274
MyProperty(avgHappy_Noise),29,0.9911469746507039,0.8159722378036287
MyProperty(avgHappy_Noise),30,0.8663404408153027,0.8858810274528526
